Município;Óbitos_p/Ocorrênc
270010 Água Branca;5
270020 Anadia;1
270030 Arapiraca;172
270040 Atalaia;7
270050 Barra de Santo Antônio;1
270060 Barra de São Miguel;1
270070 Batalha;3
270080 Belém;-
270090 Belo Monte;-
270100 Boca da Mata;-
270110 Branquinha;4
270120 Cacimbinhas;5
270130 Cajueiro;1
270135 Campestre;-
270140 Campo Alegre;13
270150 Campo Grande;3
270160 Canapi;3
270170 Capela;1
270180 Carneiros;-
270190 Chã Preta;2
270200 Coité do Nóia;4
270210 Colônia Leopoldina;7
270220 Coqueiro Seco;-
270230 Coruripe;18
270235 Craíbas;3
270240 Delmiro Gouveia;8
270250 Dois Riachos;2
270255 Estrela de Alagoas;1
270260 Feira Grande;1
270270 Feliz Deserto;-
270280 Flexeiras;3
270290 Girau do Ponciano;8
270300 Ibateguara;5
270310 Igaci;8
270320 Igreja Nova;2
270330 Inhapi;6
270340 Jacaré dos Homens;1
270350 Jacuípe;1
270360 Japaratinga;3
270370 Jaramataia;-
270375 Jequiá da Praia;3
270380 Joaquim Gomes;1
270390 Jundiá;-
270400 Junqueiro;6
270410 Lagoa da Canoa;3
270420 Limoeiro de Anadia;6
270430 Maceió;199
270440 Major Isidoro;7
270490 Mar Vermelho;-
270450 Maragogi;3
270460 Maravilha;1
270470 Marechal Deodoro;5
270480 Maribondo;2
270500 Mata Grande;1
270510 Matriz de Camaragibe;5
270520 Messias;4
270530 Minador do Negrão;-
270540 Monteirópolis;1
270550 Murici;4
270560 Novo Lino;6
270570 Olho d'Água das Flores;4
270580 Olho d'Água do Casado;-
270590 Olho d'Água Grande;-
270600 Olivença;-
270610 Ouro Branco;4
270620 Palestina;2
270630 Palmeira dos Índios;17
270640 Pão de Açúcar;2
270642 Pariconha;3
270644 Paripueira;1
270650 Passo de Camaragibe;5
270660 Paulo Jacinto;1
270670 Penedo;9
270680 Piaçabuçu;4
270690 Pilar;10
270700 Pindoba;-
270710 Piranhas;10
270720 Poço das Trincheiras;2
270730 Porto Calvo;4
270740 Porto de Pedras;-
270750 Porto Real do Colégio;3
270760 Quebrangulo;-
270770 Rio Largo;10
270780 Roteiro;-
270790 Santa Luzia do Norte;-
270800 Santana do Ipanema;20
270810 Santana do Mundaú;2
270820 São Brás;2
270830 São José da Laje;5
270840 São José da Tapera;9
270850 São Luís do Quitunde;2
270860 São Miguel dos Campos;12
270870 São Miguel dos Milagres;1
270880 São Sebastião;3
270890 Satuba;2
270895 Senador Rui Palmeira;2
270900 Tanque d'Arca;1
270910 Taquarana;4
270915 Teotônio Vilela;4
270920 Traipu;2
270930 União dos Palmares;9
270940 Viçosa;4
270000 Município ignorado - AL;-
 ;
